doi,name,affiliation,publisher,type
10.1111/apps.12043,"Tims, Maria",VU University Amsterdam; The Netherlands,Wiley,JOUR
10.1177/0022022111429719,"van Herk, Hester","VU University, Amsterdam, the Netherlands",SAGE Publications,JOUR
10.1111/jcpe.12087,"Bizzarro, Sergio",Department of Periodontology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and VU University Amsterdam; Amsterdam; The Netherlands,Wiley,JOUR
10.1111/joms.12209,"Wickert, Christopher",VU University Amsterdam,Wiley,JOUR
10.1136/jms.9.4.187,"Spijkerman, A.","Institute for Research in Extramural Medicine, VU University Medical Centre, Amsterdam, the Netherlands Department of Public Health and Primary Care, University of Cambridge, Cambridge, UK",SAGE Publications,JOUR
10.1021/es301058z,"Van Breukelen, Boris M.","Faculty ofEarth and Life Sciences, VU University Amsterdam, De Boelelaan 1085, NL-1081HV Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1177/0305829814543731,"Aalberts, Tanja E.","VU university, Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1111/chso.12214,"Sarti, Asia",Athena Institute; Amsterdam Public Health Research Institute; VU University of Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1177/0095399714532273,"de Graaf, Gjalt","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1002/cpns.91,"Badia‐Soteras, Aina","Department of Molecular and Cellular Neurobiology, Center for Neurogenomics and Cognitive Research, Amsterdam NeuroscienceVU University Amsterdam Amsterdam The Netherlands",Wiley,JOUR
10.3763/ijas.2009.0466,"van Leeuwen, Eveline","a   Department of Spatial Economics , VU University , Amsterdam,  The Netherlands",Informa UK Limited,JOUR
10.3945/jn.110.134668,"Smit, Liesbeth A.","Department of Health Sciences and the EMGO Institute for Health and Care Research, Faculty of Earth and Life Sciences, VU University, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1111/eos.12163,"Bronckers, Antonius L.J.J.",Department of Oral Cell Biology; Academic Centre for Dentistry Amsterdam (ACTA); MOVE Research Institute; University of Amsterdam and VU University Amsterdam; Amsterdam the Netherlands,Wiley,JOUR
10.1177/0022034513510944,"Lyaruu, D.M.","Department of Oral Cell Biology, Academic Centre for Dentistry Amsterdam, University of Amsterdam, and MOVE Research Institute, VU University Amsterdam, Amsterdam, Netherlands",SAGE Publications,JOUR
10.1177/0022034509343280,"Bronckers, A.L.J.J.","Dept. of Oral Cell Biology, ACTA, University of Amsterdam and VU University Amsterdam, Research Institute MOVE, Amsterdam, The Netherlands; and; Dept. of Orofacial Sciences, School of Dentistry, University of California at San Francisco, 513 Parnassus Ave., Rm S612, San Francisco, CA 94110-0422, USA",SAGE Publications,JOUR
10.12968/bjcn.2017.22.7.338,"Verver, Didi","Amsterdam Public Health research institute, Department of Epidemiology and Biostatistics, VU University Medical Centre",Mark Allen Group,JOUR
10.1111/imm.12233,"Amor, Sandra",Department of Pathology; VU University Medical Centre; Amsterdam the Netherlands; Neuroimmunology Unit; Blizard Institute of Cell and Molecular Science; Barts and The London School of Medicine and Dentistry; London UK,Wiley,JOUR
10.1021/ct500838h,"Rüger, Robert","Scientific Computing &amp; Modelling NV, De Boelelaan 1083, 1081 HV Amsterdam, The Netherlands; Department of Theoretical Chemistry, VU University Amsterdam, De Boelelaan 1083, 1081 HV Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1177/1461444814545842,"Borger, Merel","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1177/1545968316666957,"Veerbeek, Janne M.","MOVE Research Institute Amsterdam, VU University Amsterdam, Amsterdam, the Netherlands; Neuroscience Campus Amsterdam, Amsterdam, the Netherlands; VU University Medical Center, Amsterdam, the Netherlands",SAGE Publications,JOUR
10.1161/strokeaha.108.533828,"Kollen, Boudewijn J.","From the Research Bureau (B.J.K.), Isala Academy, Isala klinieken, Zwolle, The Netherlands; the Health and Rehabilitation Sciences Research Institute (S.L., B.L.), University of Ulster, Newtownabbey, Northern Ireland; Royal Victoria Hospital (B.L.), Belfast, Northern Ireland; the Regional Acquired Brain Injury Unit (L.W.-S.), Belfast, Northern Ireland; the Faculty of Human Movement Science (M.S., G.K.), VU University, Amsterdam, The Netherlands; Roessingh Research and Development (J.H.B.), Enschede,...",Ovid Technologies (Wolters Kluwer Health),JOUR
10.1177/1468798415618534,"Worthington, Maulfry","Department of Theory and Research in Education, VU University, Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1080/13803610902987195,"Poland, Mariëlle","a  VU University Amsterdam ,  The Netherlands",Informa UK Limited,JOUR
10.1080/14650045.2017.1344834,"Cuttitta, Paolo","Department of Constitutional and Administrative Law, Faculty of Law, VU University Amsterdam, Amsterdam, the Netherlands",Informa UK Limited,JOUR
10.1038/msb.2009.82,"Molenaar, Douwe","Centre for Integrative Bioinformatics (IBIVU), Vrije Universiteit Amsterdam Amsterdam The Netherlands; Top Institute Food and Nutrition Wageningen The Netherlands; Kluyver Centre for Genomics of Industrial Fermentation Delft The Netherlands; Netherlands Consortium for Systems Biology Amsterdam The Netherlands",EMBO,JOUR
10.1177/1352458511404916,"Roosendaal, Stefan D","VU University Medical Centre, The Netherlands.",SAGE Publications,JOUR
10.1177/0748730417713572,"Koopman, Anitra D.M.","Department of Epidemiology and Biostatistics, VU Medical Centre, Amsterdam, The Netherlands; EMGO+ Institute for Health and Care Research, VU Medical Centre, Amsterdam",SAGE Publications,JOUR
10.1080/20008198.2017.1388102,"Sijbrandij, Marit","Clinical, Neuro and Developmental Psychology, VU University, Amsterdam, the Netherlands",Informa UK Limited,JOUR
10.2304/eerj.2007.6.4.411,"Lunenberg, Mieke","VU University Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1080/20008198.2018.1424447,"Asselbergs, Joost","Faculty of Behavioural and Movement Sciences, Section Clinical Psychology, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; The Netherlands and EMGO Institute for Health Care and Research, VU University Medical Centre, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1111/febs.14396,"Bland, Cassidy L.",Department of Chemical and Biomedical Engineering and WVU Cancer Institute West Virginia University Morgantown WV USA,Wiley,JOUR
10.1080/0284186x.2018.1438654,"Melissant, Heleen C.","Department of Clinical, Neuro- and Developmental Psychology, Faculty of Behavioral and Movement Sciences, Amsterdam Public Health Research Institute, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands;; Cancer Center Amsterdam (CCA), VU University Medical Center, Amsterdam, The Netherlands;",Informa UK Limited,JOUR
10.1152/japplphysiol.00946.2017,"van der Zwaard, S.","Laboratory for Myology, Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Amsterdam, The Netherlands",American Physiological Society,JOUR
10.1111/bjh.15122,"van de Donk, Niels W. C. J.",Department of Haematology; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1080/09523987.2018.1439711,"Konijn, W. S.","Faculty of Earth &amp; Life Sciences, Athena Institute, VU University Amsterdam, Amsterdam, The Netherland",Informa UK Limited,JOUR
10.1111/joor.12724,"Delwel, Suzanne",Department of Oral KinesiologyAcademic Centre for Dentistry Amsterdam (ACTA)University of Amsterdam and Vrije Universiteit Amsterdam Amsterdam The Netherlands; Department of Clinical NeuropsychologyFaculty of Behavioural and Movement SciencesVrije Universiteit Amsterdam Amsterdam The Netherlands,Wiley,JOUR
10.1155/2018/1675369,"Misra, Ranjita","WVU Public Health Training Center, 3313A, Robert C. Byrd Health Science Center, West Virginia University, Morgantown, WV 26506-9190, USA",Hindawi Limited,JOUR
10.1111/jgh.14496,"Paulides, Emma","Department of Medicine; University of Otago, Christchurch; Christchurch New Zealand; Department of Gastroenterology and Hepatology; VU University Medical Centre; Amsterdam The Netherlands",Wiley,JOUR
10.1111/bpa.12602,"Min, Rogier","Department of Child Neurology, Amsterdam Neuroscience; VU University Medical Center; Amsterdam The Netherlands; Department of Integrative Neurophysiology; Center for Neurogenomics and Cognitive Research, Amsterdam Neuroscience, VU University; Amsterdam The Netherlands",Wiley,JOUR
10.1002/ajmg.a.38603,"Boot, Max V.",Department of Pathology; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1002/jppr.1338,"van Reuler, Alexandra V. R.",Department of Internal Medicine; VU Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1002/jcb.26690,"Ruppeka-Rupeika, Elizabete","Department of Periodontology, Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and Vrije Universiteit; Amsterdam The Netherlands; Amsterdam University College; University of Amsterdam and Vrije Universiteit; Amsterdam The Netherlands",Wiley,JOUR
10.1093/rap/rky036,"Al Arashi, Wala","Department of Rheumatology, NIHR Leeds Biomedical Research Centre, Leeds Teaching Hospitals NHS Trust; Department of Rheumatology, Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds, UK; Department of Rheumatology, Amsterdam Rheumatology and immunology Centre/VU University Medical Centre, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1111/cod.13010,"de Graaf, Niels P. J.","Department of Dermatology; VU University Medical Centre; Amsterdam The Netherlands; Department of Oral Cell Biology, Academic Centre for Dentistry Amsterdam; University of Amsterdam and Vrije Universiteit Amsterdam; Amsterdam The Netherlands",Wiley,JOUR
10.1021/acs.jmedchem.8b00836,"Vass, Márton","Division of Medicinal Chemistry, Faculty of Sciences, Amsterdam Institute for Molecules, Medicines and Systems (AIMMS), VU University Amsterdam, 1081HZ Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1111/apt.14660,"Vollebregt, P. F.",Department of Gastroenterology and Hepatology; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1002/ange.201804506,"Pelay-Gimeno, Marta",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1002/anie.201804506,"Pelay-Gimeno, Marta",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1080/09687599.2018.1511415,"van der Mark, Elise J.","Faculty of Earth &amp; Life Sciences, Athena Institute, VU University Amsterdam, Amsterdam, The Netherlands;; Institute for Social Development, University of the Western Cape, Cape Town, South Africa",Informa UK Limited,JOUR
10.1177/0898264318774430,"Visser, Marjolein","Vrije Universiteit Amsterdam, The Netherlands; VU University Medical Center, Amsterdam, The Netherlands",SAGE Publications,JOUR
10.1080/13569775.2018.1477463,"Palm, Trineke","Department of Political Science and Public Administration, VU University Amsterdam, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1111/voxs.12460,"Piersma, Tjeerd W.",Department of Donor Studies; Sanquin Research; Amsterdam the Netherlands; Center for Philanthropic Studies; VU University; Amsterdam the Netherlands; Department of Sociology; VU University; Amsterdam the Netherlands,Wiley,JOUR
10.1002/wat2.1316,"Dell'Angelo, Jampel","Department of Environmental Policy Analysis, Institute for Environmental StudiesVU University Amsterdam Amsterdam The Netherlands; National Socio‐Environmental Synthesis Center (SESYNC) Annapolis Maryland",Wiley,JOUR
10.1080/21692327.2017.1422988,"Grube, Dirk-Martin","Faculty of Theology, VU University Amsterdam, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1080/10382046.2018.1426304,"Karkdijk, Jan","VU University, Kapelle, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1111/ger.12343,"Dekker, Hannah",Department of Oral and Maxillofacial Surgery/Oral Pathology; VU University Medical Centre/Academic Center for Dentistry Amsterdam (ACTA); Amsterdam The Netherlands,Wiley,JOUR
10.1111/aos.13881,"van Meurs, Ida A.",The Rotterdam Ophthalmic Institute; The Rotterdam Eye Hospital; Rotterdam the Netherlands; Department of Ophthalmology; The VU University Medical Centre; Amsterdam the Netherlands,Wiley,JOUR
10.1002/hbm.23971,"Irrmischer, Mona","Department of Integrative NeurophysiologyCenter for Neurogenomics and Cognitive Research (CNCR), Amsterdam Neuroscience, VU AmsterdamAmsterdam1081 HV Netherlands",Wiley,JOUR
10.1111/bdi.12724,"Saridin, Francis N",Alzheimer Centre and Department of Neurology Neuroscience Campus AmsterdamVU University Medical Centre Amsterdam the Netherlands,Wiley,JOUR
10.1002/jcp.27693,"Schoenmaker, Ton","Department of PeriodontologyAcademic Centre for Dentistry Amsterdam (ACTA), University of Amsterdam and Vrije UniversiteitAmsterdam The Netherlands",Wiley,JOUR
10.1080/18124461.2017.1416843,"Pouyet, Nicolas R.","Evangelical Community Roosendaal, VU University, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1177/0093854818771721,"Vredeveldt, Annelies",VU University Amsterdam,SAGE Publications,JOUR
10.1080/15534510.2018.1544589,"Van Doesum, Niels J.","Social and Organizational Psychology, Leiden University, Leiden, the Netherlands; Experimental and Applied Psychology, VU Amsterdam, Amsterdam, the Netherlands",Informa UK Limited,JOUR
10.1002/ange.201811515,"Mueller, Carolin",VU University Amsterdam; Department of Chemistry & Pharmaceutical Sciences; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1080/00140139.2015.1081988,"de Looze, Michiel P.","TNO, Leiden, The Netherlands; Faculty of Human Movement Sciences, VU University, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.5465/amr.2014.0381,"Cornelissen, Joep P.",VU University Amsterdam,Academy of Management,JOUR
10.1111/add.12491,"Vink, Jacqueline M.",Department of Biological Psychology; VU University; Amsterdam the Netherlands; Neuroscience Campus Amsterdam; Amsterdam the Netherlands,Wiley,JOUR
10.1002/wps.20089,"Cuijpers, Pim",Department of Clinical Psychology; VU University Amsterdam; The Netherlands; EMGO Institute for Health and Care Research; VU University and VU University Medical Center Amsterdam; The Netherlands; Leuphana University; Lünebrug Germany,Wiley,JOUR
10.1002/da.22533,"Sijbrandij, Marit","Department of Clinical Psychology; VU University Amsterdam; The Netherlands; EMGO Institute for Health and Care Research; VU University Medical Center Amsterdam, ; VU University, ; The Netherlands",Wiley,JOUR
10.1111/jfr3.12025,"Becker, G.",Institute for Environmental Studies; VU University; Amsterdam The Netherlands,Wiley,JOUR
10.1177/0095399712451895,"Rice, Deborah","VU University Amsterdam, Netherlands",SAGE Publications,JOUR
10.1002/ange.201883561,"Pelay-Gimeno, Marta",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1002/path.5129,"Komor, Malgorzata A","Translational Gastrointestinal Oncology, Department of Pathology; Netherlands Cancer Institute; Amsterdam The Netherlands; Oncoproteomics Laboratory, Department of Medical Oncology; VU University Medical Centre; Amsterdam The Netherlands",Wiley,JOUR
10.1002/anie.201883561,"Pelay-Gimeno, Marta",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1111/jems.12256,"Bartelsman, Eric",Department of Economics; VU University Amsterdam; Amsterdam The Netherlands; Tinbergen Institute; Amsterdam The Netherlands; IZA Bonn; Germany,Wiley,JOUR
10.1111/joor.12708,"Delwel, Suzanne",Department of Oral Kinesiology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and Vrije Universiteit Amsterdam; Amsterdam The Netherlands; Department of Clinical Neuropsychology; Faculty of Behavioral and Movement Sciences; Vrije Universiteit Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1002/uog.19049,"Jordans, I. P. M.","Department of Obstetrics and Gynecology, Amsterdam Cardiovascular SciencesVU Medical Centre Amsterdam The Netherlands",Wiley,JOUR
10.1002/anie.201806482,"Neubacher, Saskia",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1111/odi.13014,"Hendra, Faqi Nurdiansyah","Department of Oral and Maxillofacial Surgery/Pathology, Amsterdam UMC and Academic Centre for Dentistry Amsterdam (ACTA), Cancer Center Amsterdam Vrije Universiteit Amsterdam Amsterdam The Netherlands; Department of Anatomy, Faculty of Medicine Hasanuddin University Makassar Indonesia",Wiley,JOUR
10.1002/da.22760,"Struijs, Sascha Y.",Department of Psychiatry and Amsterdam Public Health Research InstituteVU University Medical Centre Amsterdam the Netherlands,Wiley,JOUR
10.1111/add.14368,"Minică, Camelia C.",Department of Biological Psychology/Netherlands Twin Register; VU University; Amsterdam the Netherlands,Wiley,JOUR
10.1111/imm.12922,"Stephenson, Jodie","Centre for Neuroscience and Trauma; Barts and the Blizard Institute, London; School of Medicine and Dentistry; Queen Mary University of London; London UK; Department of Pathology; VU University Medical Centre; Amsterdam the Netherlands",Wiley,JOUR
10.1002/dmrr.3004,"Overbeek, Jetty A.","Department of General Practice and Elderly Care Medicine, Amsterdam Public Health Research Institute; VU University Medical Centre; Amsterdam Netherlands; PHARMO Institute for Drug Outcomes Research; Utrecht Netherlands",Wiley,JOUR
10.1080/00207543.2018.1449977,"Nurmala, N.","Department of Information, Logistics and Innovation, Faculty of Economics and Business Administration, VU University Amsterdam, Amsterdam, The Netherlands; Faculty of Economics and Business, Department of Management, Universitas Indonesia, Jakarta, Indonesia",Informa UK Limited,JOUR
10.1111/apt.14599,"Vollebregt, P. F.",Department of Gastroenterology and Hepatology; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1111/ger.12339,"Delwel, Suzanne",Department of Oral Kinesiology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and Vrije Universiteit Amsterdam; Amsterdam The Netherlands; Department of Clinical Neuropsychology; Faculty of Behavioral and Movement Sciences; Vrije Universiteit Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1002/humu.23586,"Ouwens, Klaasjan G.",Department of Biological Psychology; VU University Amsterdam; Amsterdam The Netherlands; Genalice Core BV; Nijkerk The Netherlands,Wiley,JOUR
10.1111/cod.13092,"Bil, Wieneke","Academic Tattoo Clinic Amsterdam, Department of Dermatology; VU University Medical Centre, Amsterdam UMC; Amsterdam The Netherlands",Wiley,JOUR
10.1021/acs.jpclett.8b00108,"Ma, Fei","Department of Physics and Astronomy, Faculty of Sciences, VU University Amsterdam, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1002/brb3.1080,"Wink, Alle Meije","Department of Radiology, Nuclear Medicine and PET Research; Neuroscience Campus Amsterdam; VU University Medical Centre; Amsterdam The Netherlands",Wiley,JOUR
10.1080/10255842.2018.1490952,"Mirakhorlo, M.","Department of Human Movement Sciences, VU University, Amsterdam, the Netherlands;",Informa UK Limited,JOUR
10.1111/joor.12689,"Tuijt, Matthijs",Department of Oral Cell Biology and Functional Anatomy; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and VU University Amsterdam; Amsterdam The Netherlands; Department of Oral Kinesiology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and VU University Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1002/micr.30320,"Smit, Jan Maerten","Department of Plastic, Reconstructive & Hand Surgery; VU University Medical Centre; Amsterdam The Netherlands",Wiley,JOUR
10.1111/irfi.12187,"Dyakov, Teodor",School of Business and EconomicsVU Amsterdam and Tinbergen Institute Amsterdam The Netherlands,Wiley,JOUR
10.1177/0003489418784967,"Makary, Chadi A.","WVU medicine Ear, Nose and Throat, West Virginia University, Martinsburg, West Virginia, USA",SAGE Publications,JOUR
10.1080/19312458.2018.1458084,"van Atteveldt, Wouter","Department of Communication Science, VU University Amsterdam, Amsterdam, the Netherlands",Informa UK Limited,JOUR
10.1111/jar.12511,"Overmars‐Marx, Tessa",VU Amsterdam The Netherlands,Wiley,JOUR
10.1021/acs.jpclett.8b00767,"Gwizdala, Michal","Department of Physics and Astronomy, Faculty of Sciences, VU University, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands; Department of Physics, Faculty of Natural and Agricultural Sciences, University of Pretoria, Private bagX20, Hatfield 0028, South Africa",American Chemical Society (ACS),JOUR
10.1111/jar.12455,"Overmars-Marx, Tessa",Sociology; VU University; Amsterdam The Netherlands,Wiley,JOUR
10.1002/bjs.10865,"Negenborn, V. L.","Department of Plastic, Reconstructive and Hand Surgery; VU University Medical Centre; Amsterdam The Netherlands; Amsterdam Public Health; Amsterdam The Netherlands",Wiley,JOUR
10.1080/0142159x.2018.1545087,"Kusurkar, Rashmi A.","Amsterdam UMC, VUmc School of Medical Sciences, Amsterdam, The Netherlands;; LEARN! Research Institute for Learning and Education, Department of Psychology and Education, VU University Amsterdam, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1002/ange.201806482,"Neubacher, Saskia",Department of Chemistry & Pharmaceutical Sciences; VU University Amsterdam; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1111/corg.12271,"Artiga González, Tanja",School of Business and EconomicsVU University Amsterdam Amsterdam The Netherlands,Wiley,JOUR
10.1111/bjh.15233,"Kaspers, Gertjan J. L.",Department of Paediatric Oncology/Haematology; VU University Medical Centre; Amsterdam the Netherlands; Princess Máxima Centre for Paediatric Oncology; Utrecht the Netherlands,Wiley,JOUR
10.1093/jac/dky163,"Sikkens, Jonne J","Department of Internal Medicine, VU University Medical Centre Amsterdam, Postbus 7057, MB, Amsterdam, The Netherlands; Research and Expertise Centre in Pharmacotherapy Education (RECIPE), Amsterdam, The Netherlands; EMGO Institute for Health and Care Research, Amsterdam, The Netherlands",Oxford University Press (OUP),JOUR
10.1111/eos.12542,"de Jong-Lenters, Maddelon","TNO, Netherlands Organisation for Applied Scientific Research; Leiden The Netherlands; Department of Cariology Endodontology Pedodontology; Academic Centre for Dentistry Amsterdam; University of Amsterdam and VU University; Amsterdam The Netherlands",Wiley,JOUR
10.1111/joor.12635,"Koutris, M.",Department of Oral Kinesiology; Academic Centre for Dentistry Amsterdam (ACTA); University of Amsterdam and VU University Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1063/1.5018671,"van Meer, R.","Computational Molecular Science Research Team, RIKEN Advanced Institute for Computational Science, Kobe, Japan; Section Theoretical Chemistry, VU University, Amsterdam, The Netherlands",AIP Publishing,JOUR
10.1002/jsp2.1005,"Beekmans, Steven V.",Department of Physics and AstronomyVrije Universiteit Amsterdam Amsterdam Netherlands; LaserLab AmsterdamVrije Universiteit Amsterdam Amsterdam Netherlands,Wiley,JOUR
10.1021/acs.est.7b06604,"Zwart, Nick","Department of Environment &amp; Health, VU University, Amsterdam, The Netherlands",American Chemical Society (ACS),JOUR
10.1002/acp.3442,"van Prooijen, Jan-Willem",Department of Experimental and Applied Psychology; VU Amsterdam; Amsterdam The Netherlands; The Netherlands Institute for the Study of Crime and Law Enforcement (NSCR); Amsterdam The Netherlands,Wiley,JOUR
10.1259/dmfr.20180108,"Hoogeveen, Reinier C","Department of Maxillofacial Radiology of the Academic Centre For Dentistry Amsterdam (ACTA), University of Amsterdam and VU University Amsterdam, Amsterdam , The Netherlands",British Institute of Radiology,JOUR
10.1111/dom.13410,"Emanuel, Anna L.","Department of Internal MedicineVU University Medical Centre, Diabetes Centre Amsterdam Netherlands",Wiley,JOUR
10.1111/medu.13631,"Rietmeijer, Chris B T",Department of General Practice and Elderly Care Medicine; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1111/cns.12799,"Sun, Yong-Mei",Key Laboratory of Animal Models and Human Disease Mechanisms of the Chinese Academy of Sciences and Yunnan Province; Kunming Institute of Zoology; Chinese Academy of Sciences; Kunming China; Department of Molecular and Cellular Neurobiology; Center for Neurogenomics & Cognitive Research; Amsterdam Neuroscience; VU University Amsterdam; Amsterdam The Netherlands,Wiley,JOUR
10.1111/1747-0080.12489,"Eykelenboom, Michelle","Department of Health Sciences, Amsterdam Public Health Research Institute; VU Amsterdam; Amsterdam the Netherlands",Wiley,JOUR
10.1002/bimj.201700102,"Aflakparast, Mehran","Department of Mathematics; Vrije Universiteit Amsterdam, De Boelelaan 1081a; 1081 HV Amsterdam The Netherlands",Wiley,JOUR
10.1080/0142159x.2018.1445833,"Kusurkar, Rashmi A.","VUmc School of Medical Sciences, Institute of Education and Training, Amsterdam, The Netherlands;; LEARN! Research Institute for Learning and Education, VU University Amsterdam, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1002/jip.1494,"van den Eeden, Claire A.J.","Police Academy of the Netherlands; Research, Knowledge & Development; The Netherlands; VU University Amsterdam; Criminal Law & Criminology; The Netherlands",Wiley,JOUR
10.1002/gps.4828,"Wielaard, Ilse","GGZ inGeest/Department of Psychiatry and Amsterdam Public Health Research Institute, Department of Mental Health; VU University Medical Centre; Amsterdam The Netherlands",Wiley,JOUR
10.1111/bjd.16273,"Prinsen, C.A.C.",VU University Medical Centre; Department of Epidemiology and Biostatistics; Amsterdam Public Health Research Institute; De Boelelaan 1089a 1081 HV Amsterdam the Netherlands,Wiley,JOUR
10.1287/mnsc.2018.3040,"Menkveld, Albert J.","VU University Amsterdam, Tinbergen Institute, and Duisenberg School of Finance, FEWEB, 1081 HV, Amsterdam, Netherlands;",Institute for Operations Research and the Management Sciences (INFORMS),JOUR
10.1111/bpa.12607,"Bugiani, Marianna","Department of Pathology, VU University Medical Centre, Amsterdam Neuroscience; Amsterdam The Netherlands",Wiley,JOUR
10.1080/21606544.2018.1515118,"Mattmann, Matteo","Eawag, Swiss Federal Institute of Aquatic Science and Technology, Dübendorf, Switzerland; Department of Environmental Economics, Institute of Environmental Studies, VU University Amsterdam, Amsterdam, The Netherlands",Informa UK Limited,JOUR
10.1111/bre.12296,"Ogata, Kei","Faculty of Science, Geology and Geochemistry Cluster; VU Amsterdam; Amsterdam the Netherlands",Wiley,JOUR
10.1111/dom.13335,"Overbeek, Jetty A.","PHARMO Institute for Drug Outcomes Research; Utrecht the Netherlands; Department of General Practice and Elderly Care Medicine, Amsterdam Public Health Research Institute; VU University Medical Centre; Amsterdam the Netherlands",Wiley,JOUR
10.1002/anie.201813484,"Mueller, Carolin",VU University Amsterdam; Department of Chemistry & Pharmaceutical Sciences; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1259/dmfr.20180205,"Hoogeveen, Reinier C","Department of Oral and Maxillofacial Radiology, Academic Centre for Dentistry Amsterdam (ACTA), University of Amsterdam and VU University Amsterdam, Amsterdam, The Netherlands",British Institute of Radiology,JOUR
10.1002/ange.201813484,"Mueller, Carolin",VU University Amsterdam; Department of Chemistry & Pharmaceutical Sciences; De Boelelaan 1108 1081 HZ Amsterdam The Netherlands,Wiley,JOUR
10.1111/ppc.12299,"Dijkxhoorn, Mirjam Anne",The Banyan Academy of Leadership in Mental Health; Chennai Tamil Nadu India; Athena Institute; VU University; Amsterdam North-Holland The Netherlands,Wiley,JOUR
10.1155/2018/7928597,"Timmermans, Celine","Department of Human Movement Sciences, Faculty of Behavioural and Movement Sciences, Vrije Universiteit Amsterdam, Amsterdam Movement Sciences, Van der Boechorststraat 9, 1081 BT Amsterdam, Netherlands",Hindawi Limited,JOUR
10.1155/2018/9264204,"Koopman, Anitra D. M.","Department of Epidemiology and Biostatistics, VU Medical Centre, Amsterdam, Netherlands; Amsterdam Public Health Research Institute, Amsterdam, Netherlands",Hindawi Limited,JOUR
10.1002/acn3.540,"Klok, Melanie D.",Department of Pediatrics/Child Neurology; Amsterdam Neuroscience; VU University Medical Centre; Amsterdam The Netherlands,Wiley,JOUR
10.1111/sjos.12335,"Wiel, Mark A.","Department of Epidemiology and Biostatistics, Amsterdam Public Health Research InstituteVU University Medical Center Amsterdam The Netherlands; Department of MathematicsVU University Amsterdam The Netherlands",Wiley,JOUR
